,split time,loss total,number of new data
0,1,0,60691
1,2,105,30345
2,3,235,20230
3,4,323,15172
4,5,466,12138
5,6,547,10115
6,7,701,8670
7,8,787,7586
8,9,985,6743
9,10,1051,6069
10,11,1159,5517
11,12,1159,5057
12,13,1346,4668
13,14,1513,4335
14,15,1651,4046
15,16,1635,3793
16,17,1803,3570
17,18,2029,3371
18,19,2076,3194
19,20,2151,3034
20,21,2395,2890
21,22,2545,2758
22,23,2317,2638
23,24,2467,2528
24,25,2891,2427
25,26,2815,2334
26,27,2965,2247
27,28,3123,2167
28,29,3126,2092
29,30,3511,2023
30,31,3465,1957
31,32,3475,1896
32,33,3502,1839
33,34,3741,1785
34,35,4096,1734
35,36,4207,1685
36,37,4118,1640
37,38,4071,1597
38,39,4297,1556
39,40,4251,1517
40,41,4193,1480
41,42,4873,1445
42,43,5006,1411
43,44,5119,1379
44,45,5251,1348
45,46,4847,1319
46,47,5090,1291
47,48,4819,1264
48,49,5468,1238
49,50,5941,1213
50,51,5917,1190
51,52,6039,1167
52,53,5995,1145
53,54,6313,1123
54,55,6241,1103
55,56,6483,1083
56,57,6370,1064
57,58,6461,1046
58,59,6647,1028
59,60,6691,1011
